"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"40443","71173567090903671238483930017656112333","4060741400335399351","UnderConsideration","Unspecified","4060741400010084399","1712839930398000","1715947421792000"
"40444","78674020800048187060831902851926484479677","4060741400007923318","UnderConsideration","Unspecified","","1705666943713000","1715947823255000"
"40445","43009708668778406108796731537412638598868641095","4060741400007923322","UnderConsideration","B2+","1013","1568232322754000","1715947846222000"
"40446","9673406384927235667482299260856235","4060741400375569062","UnderConsideration","Unspecified","1013","1681980181070000","1715947865498000"
"40447","82078741894578999255054825504631680125599","4060741400009046535","Booked","Unspecified","4000741400001402409","1714119670199000","1715948103757000"
"40448","9281420550787191658133451178179996044","4060741400007923319","Available","Unspecified","","1515583072807000","1715948476473000"
"40449","36861235164798654196141647694176008000","4060741400007923359","Proposed","Unspecified","1013","1705393709187000","1715949006457000"
"40450","895729811853444217476391992541439119","4060741400007923322","Available","Unspecified","","1677851659067000","1715949015436000"
"40451","7230520309199282460814312857588500051503","4060741400007923322","Available","B2","1013","1359543000000000","1715949335998000"
"40452","582050549184341443135708295536082905","4060741400007923322","UnderConsideration","B1","1013","1603271284801000","1715949411537000"
"40453","5663405051429251547541951577669754366761","4060741400007931772","UnderConsideration","Unspecified","","1714720780877000","1715949640775000"
"40454","2244346491109446241366977351482066245566309674","7770000000000115524","UnderConsideration","Unspecified","1012","1650533057102000","1715950169620000"
"40455","5553583242583692993662479902704466357","4060741400378875260","Available","Unspecified","","1715950424146000","1715950424244000"
"40456","5510878595347992894294254435995175275513086","4060741400007923377","UnderConsideration","Unspecified","4060741400309298942","1711299070849000","1715950602150000"
"40457","6794125994265850199190725852145443458","4060741400007923322","UnderConsideration","C1","1013","1632734647730000","1715950763995000"
"40458","614968537045367389972392684229801679089207","4060741400007923367","UnderConsideration","B2","4060741400311610516","1714083370714000","1715950810547000"
"40459","082379830517502849553473527599460240646699","4060741400378686796","UnderConsideration","Unspecified","","1712126111229000","1715950817780000"
"40460","483858708093052399553328435393693365516","4060741400007923316","UnderConsideration","Unspecified","","1684762951202000","1715950836340000"
"40461","630543340080123596034419399617441144511","4060741400335399351","UnderConsideration","Unspecified","","1715935934113000","1715951244484000"
